"country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"South Korea","KR","2021-12-12","TV",2,"Hellbound","Hellbound: Season 1",4
"South Korea","KR","2021-12-12","TV",3,"Our Beloved Summer","Our Beloved Summer: Season 1",1
"South Korea","KR","2021-12-12","TV",4,"I am Solo","I am Solo: Part 1 - Part 4",4
"South Korea","KR","2021-12-12","TV",5,"Inspector Koo","Inspector Koo: Season 1",6
"South Korea","KR","2021-12-12","TV",6,"Love After Divorce","Love After Divorce: Season 2",7
"South Korea","KR","2021-12-12","TV",7,"Rain or Shine","Rain or Shine: Season 1",1
"South Korea","KR","2021-12-12","TV",8,"Money Heist","Money Heist: Part 5",3
"South Korea","KR","2021-12-12","TV",9,"The Hungry and the Hairy","The Hungry and the Hairy: Season 1",1
"South Korea","KR","2021-12-12","TV",10,"Squid Game","Squid Game: Season 1",13
"South Korea","KR","2021-12-05","Films",1,"Hostage: Missing Celebrity","",1
"South Korea","KR","2021-12-05","Films",2,"Sinkhole","",3
"South Korea","KR","2021-12-05","Films",3,"Red Notice","",4
"South Korea","KR","2021-12-05","Films",4,"Venom","",1
"South Korea","KR","2021-12-05","Films",5,"Jack Reacher: Never Go Back","",2
"South Korea","KR","2021-12-05","Films",6,"Green Snake","",1
"South Korea","KR","2021-12-05","Films",7,"Night in Paradise","",10
"South Korea","KR","2021-12-05","Films",8,"A Boy Called Christmas","",2
"South Korea","KR","2021-12-05","Films",9,"The Power of the Dog","",1
"South Korea","KR","2021-12-05","Films",10,"Jack Reacher","",2
"South Korea","KR","2021-12-05","TV",1,"Hellbound","Hellbound: Season 1",3
"South Korea","KR","2021-12-05","TV",2,"The King's Affection","The King's Affection: Season 1",8
"South Korea","KR","2021-12-05","TV",3,"Reflection of You","Reflection of You: Season 1",8
"South Korea","KR","2021-12-05","TV",4,"Love After Divorce","Love After Divorce: Season 2",6
"South Korea","KR","2021-12-05","TV",5,"I am Solo","I am Solo: Part 1 - Part 4",3
"South Korea","KR","2021-12-05","TV",6,"Arcane","Arcane: Season 1",4
"South Korea","KR","2021-12-05","TV",7,"Squid Game","Squid Game: Season 1",12
"South Korea","KR","2021-12-05","TV",8,"Inspector Koo","Inspector Koo: Season 1",5
"South Korea","KR","2021-12-05","TV",9,"My Name","My Name: Season 1",8
"South Korea","KR","2021-12-05","TV",10,"Men on a Mission","Men on a Mission 2021",5
"South Korea","KR","2021-11-28","Films",1,"Sinkhole","",2
"South Korea","KR","2021-11-28","Films",2,"Red Notice","",3
"South Korea","KR","2021-11-28","Films",3,"Jack Reacher: Never Go Back","",1
"South Korea","KR","2021-11-28","Films",4,"The Medium","",2
"South Korea","KR","2021-11-28","Films",5,"I Saw the Devil","",2
"South Korea","KR","2021-11-28","Films",6,"G.I. Joe: Retaliation","",2
"South Korea","KR","2021-11-28","Films",7,"A Boy Called Christmas","",1
"South Korea","KR","2021-11-28","Films",8,"Jack Reacher","",1
"South Korea","KR","2021-11-28","Films",9,"Beastie Boys","",2
"South Korea","KR","2021-11-28","Films",10,"Earwig and the Witch","",1
"South Korea","KR","2021-11-28","TV",1,"Hellbound","Hellbound: Season 1",2
"South Korea","KR","2021-11-28","TV",2,"The King's Affection","The King's Affection: Season 1",7
"South Korea","KR","2021-11-28","TV",3,"Arcane","Arcane: Season 1",3
"South Korea","KR","2021-11-28","TV",4,"Inspector Koo","Inspector Koo: Season 1",4
"South Korea","KR","2021-11-28","TV",5,"Reflection of You","Reflection of You: Season 1",7
"South Korea","KR","2021-11-28","TV",6,"I am Solo","I am Solo: Part 1 - Part 4",2
"South Korea","KR","2021-11-28","TV",7,"Love After Divorce","Love After Divorce: Season 2",5
"South Korea","KR","2021-11-28","TV",8,"Squid Game","Squid Game: Season 1",11
"South Korea","KR","2021-11-28","TV",9,"My Name","My Name: Season 1",7
"South Korea","KR","2021-11-28","TV",10,"Men on a Mission","Men on a Mission 2021",4
"South Korea","KR","2021-11-21","Films",1,"Red Notice","",2
"South Korea","KR","2021-11-21","Films",2,"Sinkhole","",1
"South Korea","KR","2021-11-21","Films",3,"I Saw the Devil","",1
"South Korea","KR","2021-11-21","Films",4,"Musudan","",1
"South Korea","KR","2021-11-21","Films",5,"Beastie Boys","",1
"South Korea","KR","2021-11-21","Films",6,"The Medium","",1
"South Korea","KR","2021-11-21","Films",7,"Sunflower","",1
"South Korea","KR","2021-11-21","Films",8,"G.I. Joe: Retaliation","",1
"South Korea","KR","2021-11-21","Films",9,"Army of Thieves","",4
"South Korea","KR","2021-11-21","Films",10,"The Outlaws","",2
"South Korea","KR","2021-11-21","TV",1,"Hellbound","Hellbound: Season 1",1
"South Korea","KR","2021-11-21","TV",2,"The King's Affection","The King's Affection: Season 1",6
"South Korea","KR","2021-11-21","TV",3,"Arcane","Arcane: Season 1",2
"South Korea","KR","2021-11-21","TV",4,"Inspector Koo","Inspector Koo: Season 1",3
"South Korea","KR","2021-11-21","TV",5,"Reflection of You","Reflection of You: Season 1",6
"South Korea","KR","2021-11-21","TV",6,"My Name","My Name: Season 1",6
"South Korea","KR","2021-11-21","TV",7,"Squid Game","Squid Game: Season 1",10
"South Korea","KR","2021-11-21","TV",8,"Love After Divorce","Love After Divorce: Season 2",4
"South Korea","KR","2021-11-21","TV",9,"Hometown Cha-Cha-Cha","Hometown Cha-Cha-Cha: Season 1",12
"South Korea","KR","2021-11-21","TV",10,"I am Solo","I am Solo: Part 1 - Part 4",1
"South Korea","KR","2021-11-14","Films",1,"Red Notice","",1
"South Korea","KR","2021-11-14","Films",2,"Voice Of Silence","",2
"South Korea","KR","2021-11-14","Films",3,"Army of Thieves","",3
"South Korea","KR","2021-11-14","Films",4,"The Harder They Fall","",2
"South Korea","KR","2021-11-14","Films",5,"Love Hard","",1
"South Korea","KR","2021-11-14","Films",6,"Transformers: The Last Knight","",2
"South Korea","KR","2021-11-14","Films",7,"Kin","",2
"South Korea","KR","2021-11-14","Films",8,"The Outlaws","",1
"South Korea","KR","2021-11-14","Films",9,"Night in Paradise","",9
"South Korea","KR","2021-11-14","Films",10,"Yara","",1
"South Korea","KR","2021-11-14","TV",1,"The King's Affection","The King's Affection: Season 1",5
"South Korea","KR","2021-11-14","TV",2,"Arcane","Arcane: Season 1",1
"South Korea","KR","2021-11-14","TV",3,"My Name","My Name: Season 1",5
"South Korea","KR","2021-11-14","TV",4,"Inspector Koo","Inspector Koo: Season 1",2
"South Korea","KR","2021-11-14","TV",5,"Squid Game","Squid Game: Season 1",9
"South Korea","KR","2021-11-14","TV",6,"Reflection of You","Reflection of You: Season 1",5
"South Korea","KR","2021-11-14","TV",7,"Hometown Cha-Cha-Cha","Hometown Cha-Cha-Cha: Season 1",11
"South Korea","KR","2021-11-14","TV",8,"Love After Divorce","Love After Divorce: Season 2",3
"South Korea","KR","2021-11-14","TV",9,"Lost","Lost: Season 1",3
"South Korea","KR","2021-11-14","TV",10,"Guardian: The Lonely and Great God","Guardian: The Lonely and Great God: Season 1",6
"South Korea","KR","2021-11-07","Films",1,"Voice Of Silence","",1
"South Korea","KR","2021-11-07","Films",2,"Army of Thieves","",2
"South Korea","KR","2021-11-07","Films",3,"The Harder They Fall","",1
"South Korea","KR","2021-11-07","Films",4,"Kin","",1
"South Korea","KR","2021-11-07","Films",5,"Transformers: The Last Knight","",1
"South Korea","KR","2021-11-07","Films",6,"Guimoon: The Lightless Door","",2
"South Korea","KR","2021-11-07","Films",7,"The Rhythm Section","",1
"South Korea","KR","2021-11-07","Films",8,"Hacksaw Ridge","",1
"South Korea","KR","2021-11-07","Films",9,"Valerian and the City of a Thousand Planets","",1
"South Korea","KR","2021-11-07","Films",10,"Army of the Dead","",1
"South Korea","KR","2021-11-07","TV",1,"My Name","My Name: Season 1",4
"South Korea","KR","2021-11-07","TV",2,"The King's Affection","The King's Affection: Season 1",4
